page_number,title,geek_rating,avg_rating,vote_number
1,Gloomhaven,8.61,8.91,23838
1,Pandemic Legacy: Season 1,8.492,8.65,30517
1,Through the Ages: A New Story of Civilization,8.26,8.54,15286
1,Terraforming Mars,8.24,8.4,37192
1,Twilight Struggle,8.176,8.32,33965
1,Star Wars: Rebellion,8.161,8.45,16202
1,Gaia Project,8.125,8.56,8766
1,Scythe,8.121,8.29,38300
1,Great Western Trail,8.078,8.29,18504
1,Twilight Imperium (Fourth Edition),8.066,8.74,6182
1,Terra Mystica,8.051,8.2,32209
1,War of the Ring (Second Edition),8.029,8.42,9608
1,The Castles of Burgundy,8.012,8.13,36034
1,7 Wonders Duel,7.992999999999999,8.13,39547
1,Spirit Island,7.986000000000001,8.39,10023
1,Brass: Birmingham,7.965,8.62,4997
1,The 7th Continent,7.947,8.44,8698
1,Viticulture Essential Edition,7.926,8.15,16800
1,Puerto Rico,7.9239999999999995,8.04,55922
1,Concordia,7.9239999999999995,8.1,19307
1,Arkham Horror: The Card Game,7.92,8.23,16836
1,Caverna: The Cave Farmers,7.909,8.08,23334
1,Brass: Lancashire,7.907,8.12,14737
1,Mage Knight Board Game,7.894,8.11,23235
1,Agricola,7.891,7.99,56499
1,Mansions of Madness: Second Edition,7.88,8.16,16063
1,OrlÃ©ans,7.875,8.08,15510
1,A Feast for Odin,7.856,8.18,10742
1,Blood Rage,7.85,8.04,25012
1,Food Chain Magnate,7.85,8.18,9404
1,Mechs vs. Minions,7.818,8.14,10953
1,Pandemic Legacy: Season 2,7.814,8.28,6867
1,Kingdom Death: Monster,7.813,8.81,5730
1,Star Wars: Imperial Assault,7.808,8.09,16344
1,Through the Ages: A Story of Civilization,7.803999999999999,7.99,16828
1,Power Grid,7.803,7.89,49519
1,Azul,7.787000000000001,7.94,26023
1,Tzolk'in: The Mayan Calendar,7.778,7.93,24089
1,Eclipse,7.777,7.95,23856
1,Le Havre,7.755,7.89,22871
1,Robinson Crusoe: Adventures on the Cursed Island,7.746,7.91,26265
1,The Voyages of Marco Polo,7.732,7.94,15092
1,Android: Netrunner,7.71,7.9,24132
1,Clans of Caledonia,7.709,8.07,8571
1,7 Wonders,7.691,7.78,67976
1,Keyflower,7.6770000000000005,7.86,15703
1,Race for the Galaxy,7.664,7.76,40232
1,Caylus,7.662999999999999,7.81,24482
1,Dominant Species,7.66,7.85,15529
1,Fields of Arle,7.65,8.14,5644
1,Lords of Waterdeep,7.648,7.77,38055
1,Rising Sun,7.647,8.02,10119
1,Twilight Imperium (Third Edition),7.643,7.87,17158
1,Anachrony,7.64,8.12,6577
1,Five Tribes,7.64,7.78,25272
1,Eldritch Horror,7.6339999999999995,7.86,23250
1,El Grande,7.63,7.78,21052
1,Codenames,7.627999999999999,7.72,49816
1,Clank!: A Deck-Building Adventure,7.615,7.82,16374
1,Dominion: Intrigue,7.611000000000001,7.75,26886
1,Patchwork,7.606,7.72,32732
1,The Gallerist,7.6,8.02,6590
1,Root,7.598,8.11,6192
1,Mombasa,7.598,7.93,8434
1,Battlestar Galactica: The Board Game,7.5920000000000005,7.74,29566
1,Roll for the Galaxy,7.587000000000001,7.73,21068
1,T.I.M.E Stories,7.58,7.77,18621
1,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.577999999999999,7.8,13255
1,Troyes,7.574,7.76,14896
1,Russian Railroads,7.565,7.79,11984
1,Tigris & Euphrates,7.56,7.71,22962
1,Trajan,7.555,7.78,12400
1,Star Wars: X-Wing Miniatures Game,7.553,7.77,20616
1,Pandemic,7.547999999999999,7.64,82002
1,Dominion,7.547000000000001,7.65,67519
1,Dead of Winter: A Crossroads Game,7.542999999999999,7.69,32300
1,Crokinole,7.527,7.79,9357
1,Kemet,7.522,7.75,12974
1,Pandemic: Iberia,7.52,8.0,5930
1,Lisboa,7.507000000000001,8.2,3888
1,Descent: Journeys in the Dark (Second Edition),7.5,7.73,19097
1,Wingspan,7.5,8.24,3886
1,Stone Age,7.497000000000001,7.6,37745
1,Forbidden Stars,7.496,7.99,5935
1,Agricola (Revised Edition),7.489,8.15,4418
1,Alchemists,7.486000000000001,7.7,14432
1,Raiders of the North Sea,7.48,7.82,8159
1,Yokohama,7.475,7.92,5696
1,War of the Ring (First Edition),7.475,7.78,9447
1,Legendary Encounters: An Alien Deck Building Game,7.474,7.8,9089
1,Star Realms,7.473,7.61,27878
1,Castles of Mad King Ludwig,7.47,7.63,18570
1,Santorini,7.468999999999999,7.66,16744
1,A Game of Thrones: The Board Game (Second Edition),7.465,7.66,23667
1,Istanbul,7.4639999999999995,7.61,19504
1,Champions of Midgard,7.462999999999999,7.8,8442
1,The Resistance: Avalon,7.459,7.63,22159
1,Grand Austria Hotel,7.452000000000001,7.78,8109
1,Ticket to Ride: Europe,7.4479999999999995,7.56,46711
1,Aeon's End,7.444,8.05,4816
10,LÃ¶wenherz,6.5089999999999995,7.06,2309
10,Herbaceous,6.5089999999999995,7.16,2092
10,Meuterer,6.507999999999999,6.91,3131
10,Ponzi Scheme,6.507999999999999,7.24,1739
10,The New Era,6.507999999999999,7.56,1224
10,Wyatt Earp,6.507999999999999,6.86,3728
10,The Staufer Dynasty,6.507999999999999,7.19,1807
10,Murano,6.507000000000001,7.24,1667
10,The Magic Labyrinth,6.504,6.86,3866
10,Cartagena,6.502999999999999,6.7,7073
10,Istanbul: The Dice Game,6.5,7.2,1814
10,The Game,6.499,6.72,6190
10,Saboteur,6.497999999999999,6.61,20891
10,Jump Drive,6.497999999999999,7.06,2225
10,Agra,6.497999999999999,7.39,1406
10,Stronghold (2nd edition),6.497999999999999,7.64,1117
10,Bausack,6.497999999999999,6.85,3637
10,Room 25,6.497000000000001,6.79,4826
10,Starfarers of Catan,6.497000000000001,6.81,4702
10,Lovecraft Letter,6.497000000000001,7.27,1669
10,Timeline: Inventions,6.496,6.71,6445
10,Patchistory,6.496,7.2,1817
10,Poker,6.495,6.7,7989
10,Gravwell: Escape from the 9th Dimension,6.495,6.94,2857
10,Tides of Time,6.494,6.72,5617
10,Fallout,6.494,7.07,3219
10,Archaeology: The New Expedition,6.494,7.17,1916
10,Aton,6.492999999999999,6.88,3169
10,Aladdin's Dragons,6.492999999999999,6.92,2985
10,Dice City,6.489,6.84,3716
10,Necromunda,6.489,7.29,1718
10,Warrior Knights,6.4879999999999995,6.87,3660
10,Container: 10th Anniversary Jumbo Edition!,6.485,7.82,906
10,Kremlin,6.485,6.98,2639
10,The Little Prince: Make Me a Planet,6.485,6.92,2946
10,Villainous,6.484,7.13,2392
10,Villages of Valeria,6.484,7.1,2086
10,In the Shadow of the Emperor,6.483,6.91,2810
10,Spot it!,6.482,6.66,9063
10,MÃ¼ & More,6.481,7.17,1780
10,Sword of Rome,6.481,7.31,1475
10,Pixel Tactics,6.481,7.0,2572
10,Roma,6.48,6.78,4261
10,Escape from the Aliens in Outer Space,6.48,6.94,2848
10,Unlock! The Formula,6.48,7.14,1829
10,The Scepter of Zavandor,6.479,7.0,2425
10,Doomtown: Reloaded,6.478,7.22,1974
10,Valley of the Kings: Afterlife,6.478,7.37,1387
10,Ascension: Immortal Heroes,6.478,7.4,1384
10,Ghost Blitz,6.475,6.73,5380
10,1856: Railroading in Upper Canada from 1856,6.475,7.51,1139
10,TransAmerica,6.475,6.66,7254
10,Codex: Card-Time Strategy â Deluxe Set,6.474,8.19,830
10,Wars of the Roses: Lancaster vs. York,6.474,7.34,1403
10,City of Iron,6.473,7.26,1565
10,Factory Fun,6.473,6.83,3325
10,Medina (second edition),6.473,7.29,1460
10,Dead Man's Draw,6.472,6.86,3533
10,Rune Age,6.471,6.82,3951
10,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",6.47,7.67,1035
10,Aquaretto,6.47,7.0,2368
10,Mascarade,6.47,6.66,7855
10,The Captain Is Dead,6.468999999999999,7.26,1723
10,DC Comics Dice Masters: Justice League,6.468999999999999,7.45,1257
10,Deep Space D-6,6.468,7.38,1445
10,Blokus 3D,6.468,6.81,3666
10,Galaxy Defenders,6.468,7.46,1369
10,Blue Moon,6.4670000000000005,6.71,5263
10,D-Day Dice,6.4670000000000005,6.85,3235
10,Kahuna,6.4670000000000005,6.65,7214
10,Power Grid: The First Sparks,6.466,6.84,3242
10,Ingenious: Travel Edition,6.466,7.12,1840
10,Fearsome Floors,6.466,6.66,6875
10,Haspelknecht,6.465,7.33,1391
10,Fireball Island: The Curse of Vul-Kar,6.4639999999999995,7.29,1831
10,Blackout: Hong Kong,6.4639999999999995,7.61,1055
10,Ca$h 'n Gun$,6.4639999999999995,6.61,9351
10,Age of Renaissance,6.462999999999999,7.11,2055
10,Kodama: The Tree Spirits,6.462999999999999,6.82,3680
10,Star Wars: Epic Duels,6.462000000000001,6.97,2904
10,Olympos,6.461,6.96,2389
10,Blokus Trigon,6.461,6.93,2693
10,Power Struggle,6.461,7.01,2143
10,Puzzle Strike (Third Edition),6.461,7.29,1590
10,Porta Nigra,6.46,7.23,1510
10,Sentient,6.459,7.31,1424
10,Balloon Cup,6.459,6.69,5356
10,Giants,6.459,6.99,2287
10,CV,6.459,6.71,5073
10,Coup: Rebellion G54,6.459,7.08,2048
10,Crisis,6.457000000000001,7.66,1034
10,DC Comics Deck-Building Game: Heroes Unite,6.456,7.37,1462
10,Rise of Empires,6.456,7.07,1939
10,Traders of Osaka,6.455,6.86,2880
10,Ticket to Ride: New York,6.455,7.13,1820
10,Tiny Epic Zombies,6.455,7.31,1777
10,Happy Salmon,6.455,6.89,2883
10,War Chest,6.454,8.0,843
10,Carolus Magnus,6.454,6.83,3238
10,Ad Astra,6.452999999999999,6.88,2743
100,Zitadelle: Duel for Kursk,5.537999999999999,6.42,60
100,Hidden Intruder,5.537999999999999,7.14,31
100,Pungi,5.537999999999999,6.33,57
100,Back to the Future: An Adventure Through Time,5.537999999999999,5.91,162
100,Starship Command,5.537999999999999,7.04,40
100,Fantasy Battles: The 9th Age,5.537999999999999,7.38,42
100,Minecraft Card Game?,5.537999999999999,5.73,686
